Timestamp,Gender,Age,Common eating & sleeping patterns?,Dinner time,Bed time,wakefulness,happiness,energized-drained,active-inactive,attentive,Difference between eat time and sleep time
12/17/2023 13:05:22,Female,12,Yes,7:00 PM,8:00 PM,4,3,2,2,3,1
1/1/2024 13:13:35,Female,12,Yes,7:00 PM,9:00 PM,2,3,1,2,1,2
1/2/2024 16:20:42,Male,12,Yes,8:00 PM,9:00 PM,4,3,3,3,3,1
1/4/2024 15:05:13,Female,20,No,6:00 PM,12:00 AM,4,2,2,2,4,6
1/4/2024 15:35:56,Male,20,No,8:00 PM,12:00 AM,1,3,5,3,4,4
1/4/2024 15:36:08,Female,20,Yes,8:00 PM,12:00 AM,2,3,3,4,2,4
1/4/2024 15:37:18,Male,20,Yes,7:00 PM,12:00 AM,3,1,2,2,2,5
1/4/2024 15:45:27,Male,20,Yes,8:00 PM,12:00 AM,3,4,3,4,3,4
1/4/2024 15:50:25,Male,20,No,8:00 PM,12:00 AM,2,4,4,4,3,4
1/4/2024 15:54:24,Female,19,Yes,8:00 PM,12:00 AM,2,4,4,4,2,4
1/4/2024 16:39:53,Male,21,Yes,8:00 PM,12:00 AM,3,2,3,4,3,4
1/4/2024 16:50:45,Female,20,Yes,6:00 PM,10:00 PM,3,2,2,3,2,4
1/4/2024 16:52:09,Female,20,Yes,6:00 PM,12:00 AM,2,4,4,4,5,6
1/4/2024 16:52:12,Female,20,No,8:00 PM,11:00 PM,1,2,3,3,1,3
1/5/2024 11:36:04,Female,19,No,8:00 PM,12:00 AM,3,3,3,4,4,4
1/5/2024 12:54:10,Female,11,No,8:30 PM,12:00 AM,3,4,3,3,2,3.5
1/5/2024 12:57:02,Female,11,Yes,9:00 PM,11:00 PM,2,4,3,4,3,2
1/5/2024 12:57:06,Male,22,No,7:00 PM,12:00 AM,4,3,3,2,3,5
1/5/2024 12:57:56,Female,11,No,9:00 PM,10:00 PM,2,3,2,2,3,1
1/5/2024 13:02:02,Female,11,Yes,7:00 PM,9:00 PM,3,2,2,3,3,2
1/5/2024 13:04:23,Female,11,No,9:00 PM,5:00 AM,5,3,5,3,3,8
1/5/2024 13:08:19,Female,12,Yes,5:00 PM,9:00 PM,3,2,4,4,3,4
1/5/2024 13:09:42,Female,16,Yes,9:00 PM,12:00 AM,2,1,2,3,4,3
1/5/2024 14:34:07,Female,16,Yes,7:00 PM,11:00 PM,2,2,3,4,3,4
1/5/2024 14:44:27,Female,15,Yes,6:00 PM,12:00 AM,3,3,4,4,5,6
1/5/2024 15:11:12,Female,16,Yes,6:00 PM,12:00 AM,1,4,4,2,4,6
1/5/2024 15:12:57,Female,17,Yes,7:00 PM,11:00 PM,1,2,2,1,2,4
1/5/2024 15:24:59,Male,20,No,9:00 PM,12:00 AM,2,2,4,4,4,3
1/5/2024 16:25:34,Female,12,Yes,8:00 PM,10:00 PM,3,3,3,4,3,2
1/5/2024 16:26:06,Female,11,Yes,8:30 PM,10:30 PM,4,1,2,2,2,2
1/6/2024 9:49:51,Male,11,Yes,7:00 PM,10:00 PM,4,2,2,3,1,3